codUn;IdEmpl;Apellido;Nombre;Empleo;Departamento;Seccion;Salario;Bonificacion;EvalDes;Fch comienzo
Unidad2;1961;Mueller;Kris;Aux. Administrativo;Administración;Fax;27081;2135;7;05/11/1986
Unidad2;1960;Fontaine;Jean;Aux. Admin. Unidad;Contabilidad;Copiadoras;28043;4616;26;13/11/1986
Unidad6;1293;Cronwith;Brent;Técnico;Ingeniería;Impresoras;40897;1239;40;14/09/1984
Unidad3;1794;Goldberg;Malcolm;Respon. Producto;Mercado;Fax;37488;4564;79;18/12/1984
Unidad5;1354;Beech;Susan;Ing. Técnico;Ingeniería;Copiadoras;69070;3824;2;06/05/1986
Unidad7;1300;Richards;Phillip;Contable;Contabilidad;Impresoras;30451;4090;7;13/12/1989
Unidad6;1360;Raye;Alice;Aux. Admin. Unidad;Ingeniería;Copiadoras;33051;2525;20;01/08/1988
Unidad2;1962;Wolf;Hilda;Representante;Mercado;Impresoras;66602;3037;62;22/10/1987
Unidad3;1792;Barton;Eileen;Especialista Diseño;Diseño;Copiadoras;28859;1934;29;24/12/1990
Unidad3;1814;Al-Sabah;Daoud;Aux. Técnico;Ingeniería;Fax;21303;4381;47;04/03/1989
Unidad3;1793;Able;Aaron;Aux. Administrativo;Administración;Fax;24179;2299;44;16/12/1990
Unidad5;1517;Quan;Karen;Director Ingeniero;Ingeniería;Impresoras;62589;1881;50;26/02/1985
Unidad4;1674;Cummins;Dave;Aux. Admin. Unidad;I + D;Copiadoras;31048;1249;69;08/04/1990
Unidad4;1675;Miller;Janet;Representante;Mercado;Copiadoras;33301;4269;53;26/10/1981
Unidad7;1301;Sofer;Ariel;Ing. Técnico;Ingeniería;Impresoras;58325;4295;27;09/01/1986
Unidad6;1294;North;Robert;Ing. Mecánico;Ingeniería;Fax;58357;1487;68;06/09/1984
Unidad7;1301;Sindole;Randy;Aux. Administrativo;Mercado;Fax;27081;3391;98;06/08/1984
Unidad5;1531;Lempert;Alexandra;Investigador;I + D;Copiadoras;41053;4370;59;11/05/1986
Unidad4;1675;Melendez;Jaime;Aux. Admin. Unidad;Contabilidad;Fax;29045;3748;26;17/03/1992
Unidad6;1359;Morton;Sara;Respon. Producto;Mercado;Impresoras;49485;1005;60;09/08/1990
Unidad7;1299;Simpson;Sandrae;Aux. Técnico;Ingeniería;Copiadoras;24854;3112;92;21/12/1989
Unidad5;1529;Kellerman;Tommie;Aux. Administrativo;Ingeniería;Impresoras;25146;3845;100;28/01/1987
Unidad1;1011;Gorton;Hazel;Auxiliar Contable;Contabilidad;Copiadoras;27597;3850;90;03/02/1986
Unidad6;1292;Seidel;Matt;Representante;Mercado;Impresoras;51339;3753;44;20/11/1987
Unidad4;1676;Wells;Jason;Aux. Administrativo;Administración;Copiadoras;23212;2701;37;18/10/1981
Unidad1;1041;Tercan;Robert;Aux. Admin. Unidad;I + D;Impresoras;28043;4453;10;16/04/1992
Unidad5;1518;Smythe;Leslie;Ing. Software;Ingeniería;Impresoras;44350;1981;99;18/06/1990
Unidad2;1950;Smith;Rich;Group Mgr.;Mercado;Fax;104565;2123;100;04/10/1981
Unidad1;1054;Smith;Howard;Aux. Diseño;Diseño;Copiadoras;25176;1652;5;16/04/1991
Unidad1;1055;Albert;Maxine;Aux. Admin. Unidad;Mercado;Copiadoras;26040;4837;97;08/04/1991
Unidad5;1530;Stewart;Iain;Aux. Administrativo;Administración;Impresoras;27536;1998;26;20/01/1991
Unidad2;1966;Corwick;Rob;Aux. Diseño;Diseño;Fax;23239;4789;63;17/11/1991
Unidad6;1361;Stone;Cindy;Técnico;I + D;Impresoras;34605;4864;3;22/07/1988
Unidad1;1012;Preston;Liza;Ing. Mecánico;Ingeniería;Impresoras;43394;1944;13;26/01/1986
Unidad4;1674;Boughton;Frank;Auxiliar Contable;Contabilidad;Fax;27597;3987;52;25/03/1992
